k t J res re2 iterationGibbs time J1 J2 J3
 0 NaN -9.392520e-04 NaN NaN NaN NaN -2.744206e-03 5.621486e+01 3.444587e-01 
 1 1.782602e+05 -9.392520e-04 2.113017e-02 3.942340e+00 11 2.176298e+00 -2.744206e-03 5.621486e+01 3.444587e-01 
 2 1.336952e+05 -1.149468e-03 4.881829e-03 1.883957e+00 8 3.721163e+00 -2.755559e-03 7.773566e+01 1.982484e-01 
 3 2.005427e+05 -1.162946e-03 3.423012e-03 1.808724e+00 10 2.678015e+00 -2.774943e-03 7.349536e+01 2.166577e-01 
 4 7.520352e+04 -1.163636e-03 5.067250e-03 1.107012e+00 4 4.078685e+00 -2.776946e-03 7.704379e+01 2.032070e-01 
 5 2.256106e+05 -1.171930e-03 2.405204e-03 1.017108e+00 11 2.000424e+00 -2.786231e-03 7.524517e+01 2.105425e-01 
 6 4.230198e+04 -1.175199e-03 3.946226e-03 4.842356e-01 6 4.643702e+00 -2.788973e-03 7.535956e+01 2.099312e-01 
 7 1.269059e+05 -1.176502e-03 1.689614e-03 4.683720e-01 7 1.683962e+00 -2.793249e-03 7.521931e+01 2.114079e-01 
 8 1.903589e+05 -1.178715e-03 1.007050e-03 5.159551e-01 6 2.317124e+00 -2.794076e-03 7.557136e+01 2.095997e-01 
 9 2.855384e+05 -1.179095e-03 1.429959e-03 7.397306e-01 6 2.624185e+00 -2.798186e-03 7.560220e+01 2.106448e-01 
 10 5.353845e+04 -1.179732e-03 2.290330e-03 3.574146e-01 1 4.485541e+00 -2.800620e-03 7.605727e+01 2.094291e-01 
 11 1.606153e+05 -1.181452e-03 8.910426e-04 3.398841e-01 4 1.561344e+00 -2.802932e-03 7.589640e+01 2.102422e-01 
 12 1.204615e+05 -1.182229e-03 7.823900e-04 2.716219e-01 4 2.830239e+00 -2.803177e-03 7.609944e+01 2.092826e-01 
 13 3.613845e+05 -1.182548e-03 7.447435e-04 4.954482e-01 7 1.649820e+00 -2.805136e-03 7.613399e+01 2.096603e-01 
 14 6.775960e+04 -1.182585e-03 1.844084e-03 3.642167e-01 1 4.360192e+00 -2.806037e-03 7.648266e+01 2.085685e-01 
 15 2.032788e+05 -1.182852e-03 1.179462e-03 3.488260e-01 6 1.658942e+00 -2.808259e-03 7.639391e+01 2.095258e-01 
 16 7.622954e+04 -1.183105e-03 1.509377e-03 3.353360e-01 4 3.735764e+00 -2.807583e-03 7.657015e+01 2.085472e-01 
 17 2.286886e+05 -1.183134e-03 9.574894e-04 3.514643e-01 8 1.810932e+00 -2.809353e-03 7.651223e+01 2.093174e-01 
 18 4.287912e+04 -1.183151e-03 1.668594e-03 2.085476e-01 1 4.630972e+00 -2.808557e-03 7.665881e+01 2.084911e-01 
 19 1.286374e+05 -1.183630e-03 6.803335e-04 1.337908e-01 5 1.855350e+00 -2.809843e-03 7.658991e+01 2.090122e-01 
 20 1.929560e+05 -1.183835e-03 2.770931e-04 1.516434e-01 4 2.091826e+00 -2.809595e-03 7.665018e+01 2.086354e-01 
 21 1.447170e+05 -1.183836e-03 5.038570e-04 1.581269e-01 5 3.748110e+00 -2.810227e-03 7.667231e+01 2.087460e-01 
 22 1.085378e+05 -1.183924e-03 5.020229e-04 1.568597e-01 3 2.932367e+00 -2.809928e-03 7.669757e+01 2.085263e-01 
 23 1.628067e+05 -1.183941e-03 4.927695e-04 1.803879e-01 5 3.071859e+00 -2.810530e-03 7.669204e+01 2.087308e-01 
 24 6.105250e+04 -1.183958e-03 6.710456e-04 1.192788e-01 3 3.951413e+00 -2.810165e-03 7.674164e+01 2.084177e-01 
 25 1.831575e+05 -1.184111e-03 2.719827e-04 1.037250e-01 5 1.542339e+00 -2.810648e-03 7.672023e+01 2.086041e-01 
 26 6.868406e+04 -1.184173e-03 3.453598e-04 6.161869e-02 4 3.728096e+00 -2.810527e-03 7.675915e+01 2.083952e-01 
 27 2.060522e+05 -1.184224e-03 1.773818e-04 9.257421e-02 4 1.480684e+00 -2.810729e-03 7.675672e+01 2.084518e-01 
 28 7.726956e+04 -1.184273e-03 2.468972e-04 5.554448e-02 3 3.484770e+00 -2.810681e-03 7.678879e+01 2.082962e-01 
 29 2.318087e+05 -1.184308e-03 1.764140e-04 9.600382e-02 3 1.340092e+00 -2.810846e-03 7.678885e+01 2.083367e-01 
 30 8.692826e+04 -1.184341e-03 2.888491e-04 7.222181e-02 3 3.276625e+00 -2.810733e-03 7.681655e+01 2.081829e-01 
 31 1.303924e+05 -1.184374e-03 2.175425e-04 6.962658e-02 3 2.223619e+00 -2.810955e-03 7.681331e+01 2.082547e-01 
 32 9.779429e+04 -1.184397e-03 2.259490e-04 6.438807e-02 3 2.924134e+00 -2.810793e-03 7.683089e+01 2.081282e-01 
 33 1.466914e+05 -1.184415e-03 1.990189e-04 7.554060e-02 3 2.235362e+00 -2.810975e-03 7.682581e+01 2.081990e-01 
 34 1.100186e+05 -1.184423e-03 2.708255e-04 8.684230e-02 3 2.778193e+00 -2.810787e-03 7.684208e+01 2.080743e-01 
 35 8.251393e+04 -1.184430e-03 2.845091e-04 6.300017e-02 3 2.928753e+00 -2.811040e-03 7.683329e+01 2.081857e-01 
 36 1.237709e+05 -1.184471e-03 1.374294e-04 4.955744e-02 1 1.865751e+00 -2.810876e-03 7.684555e+01 2.080736e-01 
 37 9.282818e+04 -1.184483e-03 1.505168e-04 4.051578e-02 4 2.861883e+00 -2.810989e-03 7.684804e+01 2.080955e-01 
 38 1.392423e+05 -1.184498e-03 1.122754e-04 4.556844e-02 1 1.932759e+00 -2.810899e-03 7.685953e+01 2.080176e-01 
 39 1.044317e+05 -1.184508e-03 1.394389e-04 4.241347e-02 3 2.933402e+00 -2.811006e-03 7.686246e+01 2.080368e-01 
 40 1.566475e+05 -1.184519e-03 1.273538e-04 5.697302e-02 3 2.049340e+00 -2.810899e-03 7.687364e+01 2.079564e-01 
 41 1.174857e+05 -1.184519e-03 1.982105e-04 6.787659e-02 1 2.825365e+00 -2.811041e-03 7.687674e+01 2.079886e-01 
 42 8.811425e+04 -1.184523e-03 2.286075e-04 5.865645e-02 4 2.844566e+00 -2.810834e-03 7.689051e+01 2.078683e-01 
 43 6.608568e+04 -1.184540e-03 1.544813e-04 2.975718e-02 1 2.723608e+00 -2.810998e-03 7.688831e+01 2.079232e-01 
 44 1.982571e+05 -1.184553e-03 6.011882e-05 3.467106e-02 3 1.390544e+00 -2.810907e-03 7.689249e+01 2.078743e-01 
 45 1.486928e+05 -1.184561e-03 8.311091e-05 3.519629e-02 3 2.891831e+00 -2.810900e-03 7.689435e+01 2.078624e-01 
 46 1.115196e+05 -1.184564e-03 1.270076e-04 4.128342e-02 2 2.645833e+00 -2.810794e-03 7.689822e+01 2.078131e-01 
 47 8.363969e+04 -1.184567e-03 1.308572e-04 3.188918e-02 3 2.880888e+00 -2.810866e-03 7.689782e+01 2.078363e-01 
 48 1.254595e+05 -1.184576e-03 7.708657e-05 2.818973e-02 1 1.939711e+00 -2.810786e-03 7.690007e+01 2.077998e-01 
 49 9.409466e+04 -1.184578e-03 9.306842e-05 2.547754e-02 3 2.853568e+00 -2.810816e-03 7.689957e+01 2.078102e-01 
 50 1.411420e+05 -1.184582e-03 7.305000e-05 3.005250e-02 3 2.014084e+00 -2.810753e-03 7.690219e+01 2.077791e-01 
 51 1.058565e+05 -1.184583e-03 1.063647e-04 3.275245e-02 3 2.916997e+00 -2.810783e-03 7.690218e+01 2.077884e-01 
 52 7.939237e+04 -1.184586e-03 1.041188e-04 2.409441e-02 1 2.553656e+00 -2.810703e-03 7.690475e+01 2.077525e-01 
 53 1.190885e+05 -1.184591e-03 6.152945e-05 2.135805e-02 1 2.009670e+00 -2.810736e-03 7.690359e+01 2.077659e-01 
 54 8.931641e+04 -1.184593e-03 7.227756e-05 1.865859e-02 3 2.684648e+00 -2.810679e-03 7.690638e+01 2.077362e-01 
 55 1.339746e+05 -1.184596e-03 5.945854e-05 2.242645e-02 3 1.976935e+00 -2.810695e-03 7.690648e+01 2.077399e-01 
 56 1.004810e+05 -1.184600e-03 7.420457e-05 2.110232e-02 2 2.564728e+00 -2.810631e-03 7.691177e+01 2.076982e-01 
 57 7.536072e+04 -1.184602e-03 6.476972e-05 1.421362e-02 3 2.794404e+00 -2.810653e-03 7.690906e+01 2.077150e-01 
 58 2.260822e+05 -1.184605e-03 3.871903e-05 2.534966e-02 3 1.363400e+00 -2.810614e-03 7.691093e+01 2.076945e-01 
 59 8.478081e+04 -1.184606e-03 7.492795e-05 1.848187e-02 3 4.029736e+00 -2.810611e-03 7.690935e+01 2.076994e-01 
 60 1.271712e+05 -1.184609e-03 4.806690e-05 1.781736e-02 1 1.846272e+00 -2.810566e-03 7.691239e+01 2.076727e-01 
 61 9.537841e+04 -1.184610e-03 6.081131e-05 1.690608e-02 1 2.712609e+00 -2.810588e-03 7.691102e+01 2.076846e-01 
 62 7.153381e+04 -1.184611e-03 4.983838e-05 1.039163e-02 1 2.539465e+00 -2.810549e-03 7.691427e+01 2.076591e-01 
 63 2.146014e+05 -1.184613e-03 2.750050e-05 1.718172e-02 3 1.347727e+00 -2.810565e-03 7.691346e+01 2.076669e-01 
 64 8.047554e+04 -1.184613e-03 5.354858e-05 1.256089e-02 1 3.222174e+00 -2.810532e-03 7.691721e+01 2.076418e-01 
 65 1.207133e+05 -1.184615e-03 3.292717e-05 1.158559e-02 1 2.085291e+00 -2.810556e-03 7.691609e+01 2.076532e-01 
 66 9.053498e+04 -1.184615e-03 3.908944e-05 1.031536e-02 1 2.558907e+00 -2.810533e-03 7.691896e+01 2.076346e-01 
 67 1.358025e+05 -1.184616e-03 3.065886e-05 1.213590e-02 1 2.387336e+00 -2.810551e-03 7.691855e+01 2.076417e-01 
 68 1.018519e+05 -1.184616e-03 4.328158e-05 1.284933e-02 1 2.762235e+00 -2.810529e-03 7.692194e+01 2.076213e-01 
 69 7.638889e+04 -1.184617e-03 4.093195e-05 9.113834e-03 1 2.806303e+00 -2.810554e-03 7.692136e+01 2.076313e-01 
 70 1.145833e+05 -1.184618e-03 2.327788e-05 7.774516e-03 1 1.926793e+00 -2.810537e-03 7.692373e+01 2.076163e-01 
 71 8.593750e+04 -1.184618e-03 2.537139e-05 6.355292e-03 1 2.813233e+00 -2.810549e-03 7.692440e+01 2.076174e-01 
 72 2.578125e+05 -1.184619e-03 2.017487e-05 1.516084e-02 1 1.425526e+00 -2.810539e-03 7.692651e+01 2.076061e-01 
 73 9.667969e+04 -1.184619e-03 5.139222e-05 1.441398e-02 3 4.236053e+00 -2.810563e-03 7.692913e+01 2.076031e-01 
 74 7.250976e+04 -1.184619e-03 4.434636e-05 9.372661e-03 1 2.680778e+00 -2.810536e-03 7.693313e+01 2.075789e-01 
 75 2.175293e+05 -1.184620e-03 2.401771e-05 1.521564e-02 3 1.676973e+00 -2.810556e-03 7.693341e+01 2.075838e-01 
 76 8.157349e+04 -1.184621e-03 7.305013e-05 1.286457e-02 3 3.358225e+00 -2.810531e-03 7.693894e+01 2.075540e-01 
